,PAPAL NAME,BEGINNING PONTIFICATE,END PONTIFICATE,SECULAR NAME,BIRTH,CENTURY
1,Peter,30 or 33,64 or 67,Simon or Simeon,Bethsaida of Galilee,1
2,Linus,68,79,,Tuscia,1
3,Anacletus or Cletus,80,92,,Rome,1
4,Clement,92,99,,Rome,1
5,Evaristus,99 or 96,108,,Greece,1
6,Alexander I,108 or 109,116 or 119,,Rome,2
7,Sixtus I,117 or 119,126 or 128,,Rome,2
8,Telesphorus,127 or 128,137 or 138,,Greece,2
9,Hyginus,138,142 or 149,,Greece,2
10,Pius I,142 or 146,157 or 161,,Aquileia,2
11,Anicetus,150 or 157,153 or 168,,Emesa (Syria),2
12,Soterus,162 or 168,170 or 177,,Fondi,2
13,Eleutherius,171 or 177,185 or 193,,Nicopolis (Epirus),2
14,Victor I,186 or 189,197 or 201,,Africa,2
15,Zephyrinus,198,217 or 218,,Rome,2
16,Callistus I,218,222,,,3
17,Urban I,222,230,,Rome,3
18,Pontianus,21.VII.230,28.IX.235,,Rome,3
19,Anterus,21.XI.235,3.I.236,,Greece,3
20,Fabian,... 236,20.I.250,,Rome,3
21,Cornelius,6 or 13.III.251,... VI.253,,Rome,3
22,Lucius I,... VI or VII.253,5.III.254,,Rome,3
23,Stephen I,12.III.254,2.VIII.257,,Rome,3
24,Sixtus II,30.VIII.257,6.VIII.258,,Greece,3
25,Dionysius,22.VII.259,26.XII.268,,Unknown,3
26,Felix I,5.I.269,30.XII.274,,Rome,3
27,Eutichianus,4.I.275,7.XII.283,,Luni,3
28,Caius,17.XII.283,22.IV.296,,Dalmatia,3
29,Marcellinus,30.VI.296,25.X.304,,Rome,3
30,Marcellus I,306,16.I.309,,Rome,4
31,Eusebius,18.IV.309,17.VIII.309,,Greece,4
32,Miltiades or Melchiades,2.VII.311,10.I.314,,Africa,4
33,Sylvester I,31.I.314,31.XII.335,,Rome,4
34,Mark,18.I.336,7.X.336,,Rome,4
35,Julius I,6.II.337,12.IV.352,,Rome,4
36,Liberius,17.V.352,24.IX.366,,Romano,4
37,Damasus I,1.X.366,11.XII.384,,Rome,4
38,Siricius,15 o 22 o 29.XII.384,26.XI.399,,Rome,4
39,Anastasius I,27.XI.399,19.XII.401,,Rome,4
40,Innocent I,22.XII.401,12.III.417,,Albano,5
41,Zosimus,18.III.417,26.XII.418,,Greece,5
42,Boniface I,"28,29.XII.418",4.IX.422,,Rome,5
43,Celestine I,10.IX.422,27.VII.432,,Campania,5
44,Sixtus III,31.VII.432,19.VIII.440,,Rome,5
45,Leo I,29.IX.440,10.XI.461,,Tuscia,5
46,Hilarius,19.XI.461,29.II.468,,Sardinia,5
47,Simplicius,3.III.468,10.III.483,,Tivoli,5
48,Felix III,13.III.483,25.II o 1.III.492,,Rome,5
49,Gelasius I,1.III.492,21.XI.496,,Africa,5
50,Anastasius II,24.XI.496,19.XI.498,,Rome,5
51,Symmachus,22.XI.498,19.VII.514,,Sardinia,5
52,Hormisdas,20.VII.514,6.VIII.523,,,6
53,John I,13.VIII.523,18.V.526,,Tuscia,6
54,Felix IV,12.VII.526,20 or 22.IX.530,,Samnium,6
55,Boniface II,20 o 22.IX.530,17.X.532,,Rome,6
56,John II,"31.XII.532, 2.I.533",8.V.535,Mercurio,Rome,6
57,Agapetus I,13.V.535,22.IV.536,,Rome,6
58,Silverius,8.VI.536,... 537,,Frosinone,6
59,Vigilius,29.III.537,7.VI.555,,Rome,6
60,Pelagius I,16.IV.556,4.III.561,,Rome,6
61,John III,17.VII.561,13.VII.574,Catalino,Rome,6
62,Benedict  I,2.VI.575,30.VII.579,,Rome,6
63,Pelagius II,26.XI.579,7.II.590,,Rome,6
64,Gregory I,3.IX.590,12.III.604,,Rome,6
65,Sabinian,"... III, 13.IX.604",22.II.606,,"Blera, Tuscia",7
66,Boniface III,19.II.607,10.XI.607,,Rome,7
67,Boniface IV,25.VIII.608,8.V.615,,Marsican territory,7
68,Deusdedit or Adeodatus  I,19.X.615,8.XI.618,,Rome,7
69,Boniface V,23.XII.619,23.X.625,,Naples,7
70,Honorius I,27.X.625,12.X.638,,Campania,7
71,Severinus,"... X.638, 28.V.640",2.VIII.640,,Rome,7
72,John IV,"... VIII, 24.XII.640",12.X.642,,Dalmatia,7
73,Theodore I,"12.X, 24.XI.642",14.V.649,,Jerusalem,7
74,Martin I,5.VII.649,16.IX.655,,Todi,7
75,Eugene I,10.VIII.654,2.VI.657,,Rome,7
76,Vitalian,30.VII.657,27.I.672,,Segni,7
77,Adeodatus II,11.IV.672,16.VI.676,,Rome,7
78,Donus,2.XI.676,11.IV.678,,Rome,7
79,Agatho,27.VI.678,10.I.681,,Sicily,7
80,Leo II,"... I.681, 17.VIII.682",3.VII.683,,Sicily,7
81,Benedict II,26.VI.684,8.V.685,,Rome,7
82,John V,23.VII.685,2.VIII.686,,Syria,7
83,Conon,23.X.686,21.IX.687,,Unknown,7
84,Sergius I,15.XII.687,7.IX.701,,Syria,7
85,John VI,30.X.701,11.I.705,,Greece,8
86,John VII,1.III.705,18.X.707,,Greece,8
87,Sisinnius,15.I.708,4.II.708,,Syria,8
88,Constantine,25.III.708,9.IV.715,,Syria,8
89,Gregory II,19.V.715,11.II.731,,Rome,8
90,Gregory III,18.III.731,28.XI.741,,Syria,8
91,Zachary,3.XII.741,15.III.752,,Greece,8
92,Stephen II,26.III.752,26.IV.757,,Rome,8
93,Paul I,"... IV, 29.V.757",28.VI.767,,Rome,8
94,Stephen III,"1,7.VIII.768",24.I.772,,Sicily,8
95,Adrian I,"1,9.II.772",25.XII.795,,Rome,8
96,Leo III,"26,27.XII.795",12.VI.816,,Rome,8
97,Stephen IV,22.VI.816,24.I.817,,Rome,9
98,Paschal I,25.I.817,... II-V.824,,Rome,9
99,Eugene II,... II-V.824,...VIII.827,,Rome,9
100,Valentine,... VIII.827,...IX.827,,Rome,9
101,Gregory IV,"... IX.827, 29.III.828",25.I.844,,Rome,9
102,Sergius II,25.I.844,27.I.847,,Rome,9
103,Leo IV,"...I,10.V.847",17.VII.855,,Rome,9
104,Benedict III,"...VII, 29.IX.855",17.IV.858,,Rome,9
105,Nicholas I,24.IV.858,13.XI.867,,Rome,9
106,Adrian II,14.XII.867,...XI or XII.872,,Rome,9
107,John VIII,14.XII.872,16.XII.882,,Rome,9
108,Marinus I,... XII.882,15.V.884,,Gallese,9
109,Adrian III,17.V.884,...VIII or IX.885,,Rome,9
110,Stephen V,...IX.885,14.IX.891,,Rome,9
111,Formosus,6.X.891,4.IV.896,,Bishop of Portus,9
112,Boniface VI,11.IV.896,26.IV.896,,Rome,9
113,Stephen VI,...V or VI.896,...VII or VIII.897,,Rome,9
114,Romanus,...VII or VIII.897,...XI.897,,Gallese,9
115,Theodore II,...XII.897,...XII.897 or I.898,,Rome,9
116,John IX,..XII.897 or I.898,...I-V.900,,Tivoli,9
117,Benedict IV,...I-V.900,...VII.903,,Rome,10
118,Leo V,... VII.903,... IX.903,,Ardea,10
119,Sergius III,29.I.904,14.IV.911,,Rome,10
120,Anastasius III,... VI or IX.911,... VI or VIII or X.913,,Rome,10
121,Lando,... VII or XI.913,... III.914,,Sabina,10
122,John X,... III or IV.914,... V or VI.928,,Tossignano (Imola),10
123,Leo VI,... V or VI.928,... XII.928 or I.929,,Rome,10
124,Stephen VII,...I.929,...II.931,,Rome,10
125,John XI,...III.931,...I.936,,Rome,10
126,Leo VII,...I.936,13.VII.939,,Rome,10
127,Stephen VIII,14.VII.939,... X.942,,Rome,10
128,Marinus II,"30.X,...XI.942",...V.946,,Rome,10
129,Agapetus II,10.V.946,...XII.955,,Rome,10
130,John XII,16.XII.955,14.V.964,Ottaviano,Counts of Tusculum,10
131,Leo VIII,"4,6.XII.963",...III.965,,Rome,10
132,Benedict V,...V.964,4.VII.964 or 965,,Rome,10
133,John XIII,1.X.965,6.IX.972,,Rome,10
134,Benedict VI,"...XII.972, 19.I.973",...VII.974,,Rome,10
135,Benedict VII,...X.974,10.VII.983,,Rome,10
136,John XIV,...XI or XII.983,20.VIII.984,Pietro,Pavia,10
137,John XV,...VIII.985,...III.996,,Rome,10
138,Gregory V,3.V.996,...II or III.999,Bruno of Carinthia,Saxony,10
139,Sylvester II,2.IV.999,12.V.1003,Gerbert,Aquitaine,10
140,John XVII,16.V.1003,6.XI.1003,Siccone,Rome,11
141,John XVIII,25.XII.1003,...VI or VII.1009,Fasano,Rome,11
142,Sergius IV,31.VII.1009,12.V.1012,Pietro,Rome,11
143,Benedict VIII,18.V.1012,9.IV.1024,Teofilatto dei conti di Tuscolo,,11
144,John XIX,19.IV.1024,...1032,Romano dei conti di Tuscolo,,11
145,Benedict IX,...VIII or IX.1032,...IX.1044,Theophylactus of Tusculum,,11
146,Sylvester III,13 or 20.I.1045,...III.1045,Giovanni,Rome,11
147,Benedict IX,10.III.1045,1.V.1045,Theophylactus of Tusculum,,11
148,Gregory VI,1.V.1045,20.XII.1046,Giovanni Graziano,Rome,11
149,Clement II,24.XII.1046,9.X.1047,"Suidger, Graf von Morsleben und Hornburg",Saxony,11
150,Benedict IX,...X.1047,... VIII.1048,Theophylactus of Tusculum,,11
151,Damasus II,17.VII.1048,9.VIII.1048,Poppo,Tyrol,11
152,Leo IX,"2,12.II.1049",19.IV.1054,Bruno of Eguisheim-Dagsburg,Alsace,11
153,Victor II,13.IV.1055,28.VII.1057,Gebhard Of Dollnstein-hirschberg,Swabia,11
154,Stephen IX,"2,3.VIII.1057",29.III.1058,Frédéric de Lorraine,,11
155,Nicholas II,"...XII.1058, 24.I.1059",27.VII.1061,Gérard,Bourgogne,11
156,Alexander II,"30.IX, 1.X.1061",21.IV.1073,Anselmo,Baggio (Milano),11
157,Gregory VII,"22.IV,30.VI.1073",25.V.1085,Ildebrando,Tuscia,11
158,Victor III,"24.V.1086, 9.V.1087",16.IX.1087,Dauferio (Desiderio),Benevento,11
159,Urban II,12.III.1088,29.VII.1099,Odo of Lagery,Châtillon-sur-Marne,11
160,Paschal II,"13,14.VIII.1099",21.I.1118,Raniero,Bleda or Galeata,11
161,Gelasius II,"24.I,10.III.1118",28.I.1119,Giovanni Caetani,Gaeta,12
162,Callixtus II,"2,9.II.1119",13 or 14.XII.1124,Guy of Burgundy,,12
163,Honorius II,"15,21.XII.1124",13 or 14.II.1130,Lamberto Scannabecchi,Fiagnano (Imola),12
164,Innocent II,"14,23.II.1130",24.IX.1143,Gregorio Papareschi,Rome,12
165,Celestine II,"26.IX,3.X.1143",8.III.1144,Guido,Città di Castello,12
166,Lucius II,12.III.1144,15.II.1145,Gerardo,Bologna,12
167,Eugene III,"15,18.II.1145",8.VII.1153,Bernardo,Pisa,12
168,Anastasius IV,12.VII.1153,3.XII.1154,Corrado,Rome,12
169,Adrian IV,"4,5.XII.1154",1.IX.1159,Nicholas Breakspear,Abbot's Lagnley (Hertfordshire),12
170,Alexander III,"7,20.IX.1159",30.VIII.1181,Rolando Bandinelli,Siena,12
171,Lucius III,1. 6.IX.1181,25.IX.1185,Ubaldo Allucingoli,Lucca,12
172,Urban III,"25.XI,1.XII.1185",20.X.1187,Umberto Crivelli,Milan,12
173,Gregory VIII,21.25.X.1187,17.XII.1187,Alberto di Morra,Benevento,12
174,Clement III,"19,20.XII.1187",...III.1191,Paolo Scolari,Rome,12
175,Celestine III,"10,14.IV.1191",8.I.1198,Giacinto Bobone,Rome,12
176,Innocent III,"8.I,22.II.1198",16.VII.1216,Lotario dei conti di Segni,Gavignano (Rome),12
177,Honorius III,"18,24.VII.1216",18.III.1227,Cencio,Rome,13
